,County,State,ImmCountRounded,Origin,OriginTooltip,CountyPercentbyOrigin,ImmCount,TotalImmPopRounded,TotalImm
2,"DeKalb County, Georgia",Georgia,38800,Asia,Asia,0.002841072,38757,13641700,13641680
3,"DeKalb County, Georgia",Georgia,2100,Bangladesh,Bangladesh,0.008795219,2087,237300,237288
4,"DeKalb County, Georgia",Georgia,1300,Canada,Canada,0.001665912,1347,808600,808566
5,"DeKalb County, Georgia",Georgia,16600,Caribbean,Caribbean,0.0038349729999999998,16628,4335900,4335884
6,"DeKalb County, Georgia",Georgia,24400,Central America,Central America,0.001650571,24369,14764000,14763980
7,"DeKalb County, Georgia",Georgia,9000,"Central America, excluding Mexico","Central America, excl. Mexico",0.00256757,9021,3513400,3513439
8,"DeKalb County, Georgia",Georgia,5500,China,China,0.0019745789999999997,5479,2774800,2774768
9,"DeKalb County, Georgia",Georgia,4400,"China, excluding Hong Kong and Taiwan","China, excl. Hong Kong and Taiwan",0.002026919,4383,2162400,2162395
10,"DeKalb County, Georgia",Georgia,4600,"China, excluding Taiwan","China, excl. Taiwan",0.00194137,4647,2393700,2393670
11,"DeKalb County, Georgia",Georgia,1100,Colombia,Colombia,0.00149992,1142,761400,761374
12,"DeKalb County, Georgia",Georgia,11900,Eastern Africa,Eastern Africa,0.017529176,11875,677400,677442
13,"DeKalb County, Georgia",Georgia,9100,Eastern Asia,Eastern Asia,0.0021757129999999997,9094,4179800,4179779
14,"DeKalb County, Georgia",Georgia,2800,Eastern Europe,Eastern Europe,0.0013461810000000001,2836,2106700,2106701
15,"DeKalb County, Georgia",Georgia,1600,El Salvador,El Salvador,0.001146264,1583,1381000,1381008
16,"DeKalb County, Georgia",Georgia,1400,Eritrea,Eritrea,0.030098185,1358,45100,45119
17,"DeKalb County, Georgia",Georgia,7400,Ethiopia,Ethiopia,0.02946228,7359,249800,249777
18,"DeKalb County, Georgia",Georgia,7700,Europe,Europe,0.001626417,7748,4763800,4763845
19,"DeKalb County, Georgia",Georgia,1100,Germany,Germany,0.002048654,1148,560400,560368
20,"DeKalb County, Georgia",Georgia,4600,Guatemala,Guatemala,0.004733949,4635,979100,979098
21,"DeKalb County, Georgia",Georgia,1300,Guyana,Guyana,0.004843374,1313,271100,271092
22,"DeKalb County, Georgia",Georgia,1400,Haiti,Haiti,0.002106578,1417,672700,672655
23,"DeKalb County, Georgia",Georgia,1800,Honduras,Honduras,0.002827423,1841,651100,651123
24,"DeKalb County, Georgia",Georgia,9100,India,India,0.003549311,9093,2561900,2561906
25,"DeKalb County, Georgia",Georgia,9900,Jamaica,Jamaica,0.013312903000000001,9870,741400,741386
26,"DeKalb County, Georgia",Georgia,2900,Korea,Korea,0.0027378009999999998,2860,1044600,1044634
27,"DeKalb County, Georgia",Georgia,46900,Latin America,Latin America,0.0021082460000000003,46933,22261600,22261633
28,"DeKalb County, Georgia",Georgia,3800,MENA: Middle East* and North Africa,MENA: Middle East* and North Africa,0.00333621,3831,1148300,1148309
29,"DeKalb County, Georgia",Georgia,15300,Mexico,Mexico,0.001364201,15348,11250500,11250541
30,"DeKalb County, Georgia",Georgia,1900,Middle Africa,Middle Africa,0.012656418000000001,1947,153800,153835
31,"DeKalb County, Georgia",Georgia,2600,Myanmar (Burma),Myanmar (Burma),0.017313465,2555,147600,147573
32,"DeKalb County, Georgia",Georgia,1500,Nepal,Nepal,0.010950718,1543,140900,140904
33,"DeKalb County, Georgia",Georgia,3400,Nigeria,Nigeria,0.009652499,3381,350300,350272
34,"DeKalb County, Georgia",Georgia,1700,Northern Africa,Northern Africa,0.004572465,1659,362800,362824
35,"DeKalb County, Georgia",Georgia,1500,Northern America,Northern America,0.00185704,1516,816400,816353
36,"DeKalb County, Georgia",Georgia,2500,Northern Europe,Northern Europe,0.002647235,2502,945100,945137
37,"DeKalb County, Georgia",Georgia,8100,"Northern Triangle: El Salvador, Guatemala, Honduras","Northern Triangle: El Salvador, Guatemala, Honduras",0.0026763159999999998,8059,3011200,3011229
38,"DeKalb County, Georgia",Georgia,1900,Pakistan,Pakistan,0.005014264,1886,376100,376127
39,"DeKalb County, Georgia",Georgia,1300,Somalia,Somalia,0.013580422,1344,99000,98966
40,"DeKalb County, Georgia",Georgia,5900,South America,South America,0.00187743,5936,3161800,3161769
41,"DeKalb County, Georgia",Georgia,17300,South Central Asia,South Central Asia,0.004314116,17344,4020300,4020291
42,"DeKalb County, Georgia",Georgia,9200,South Eastern Asia,South Eastern Asia,0.002159264,9209,4264900,4264879
43,"DeKalb County, Georgia",Georgia,22800,Sub-Saharan Africa,Sub-Saharan Africa,0.012053758999999999,22828,1893800,1893849
44,"DeKalb County, Georgia",Georgia,119900,(All countries),all countries,0.002724612,119914,44011400,44011407
45,"DeKalb County, Georgia",Georgia,1400,Trinidad and Tobago,Trinidad and Tobago,0.006064295,1395,230000,230035
46,"DeKalb County, Georgia",Georgia,1900,United Kingdom,the United Kingdom,0.002733993,1910,698600,698612
47,"DeKalb County, Georgia",Georgia,3600,Vietnam,Vietnam,0.0026627020000000003,3560,1337000,1336988
48,"DeKalb County, Georgia",Georgia,6900,Western Africa,Western Africa,0.008250464,6931,840100,840074
49,"DeKalb County, Georgia",Georgia,3100,Western Asia,Western Asia,0.002724109,3071,1127300,1127341
50,"DeKalb County, Georgia",Georgia,1800,Western Europe,Western Europe,0.001887477,1785,945700,945707
0,"Douglas County, Georgia",Georgia,2400,Africa,Africa,0.00104623,2361,2256700,2256673
1,"Douglas County, Georgia",Georgia,8300,Americas,Americas,0.00035752699999999995,8251,23078000,23077986
2,"Douglas County, Georgia",Georgia,1400,Asia,Asia,0.000105705,1442,13641700,13641680
3,"Douglas County, Georgia",Georgia,2700,Caribbean,Caribbean,0.000617636,2678,4335900,4335884
4,"Douglas County, Georgia",Georgia,4800,Central America,Central America,0.000328367,4848,14764000,14763980
5,"Douglas County, Georgia",Georgia,1000,"Central America, excluding Mexico","Central America, excl. Mexico",0.000288037,1012,3513400,3513439
6,"Douglas County, Georgia",Georgia,1200,Ghana,Ghana,0.006597977,1177,178400,178388
7,"Douglas County, Georgia",Georgia,8200,Latin America,Latin America,0.000367898,8190,22261600,22261633
8,"Douglas County, Georgia",Georgia,3800,Mexico,Mexico,0.000340961,3836,11250500,11250541
9,"Douglas County, Georgia",Georgia,2300,Sub-Saharan Africa,Sub-Saharan Africa,0.0011980889999999998,2269,1893800,1893849
10,"Douglas County, Georgia",Georgia,12700,(All countries),all countries,0.000288562,12700,44011400,44011407
11,"Douglas County, Georgia",Georgia,1900,Western Africa,Western Africa,0.002241469,1883,840100,840074
0,"Fayette County, Georgia",Georgia,4600,Americas,Americas,0.000199801,4611,23078000,23077986
1,"Fayette County, Georgia",Georgia,4000,Asia,Asia,0.000294978,4024,13641700,13641680
2,"Fayette County, Georgia",Georgia,1200,Caribbean,Caribbean,0.000284371,1233,4335900,4335884
3,"Fayette County, Georgia",Georgia,1800,Central America,Central America,0.00012442399999999999,1837,14764000,14763980
4,"Fayette County, Georgia",Georgia,1400,Eastern Asia,Eastern Asia,0.000338056,1413,4179800,4179779
5,"Fayette County, Georgia",Georgia,1900,Europe,Europe,0.00039296,1872,4763800,4763845
6,"Fayette County, Georgia",Georgia,1100,India,India,0.000418829,1073,2561900,2561906
7,"Fayette County, Georgia",Georgia,3900,Latin America,Latin America,0.000176133,3921,22261600,22261633
